Name,Year,M,Inns,NO,50s,100s,HS,Runs,Avg,Ca,St
Gilchrist Adam,1996,2,2,0,0,0,18,18,9,2,0
Gilchrist Adam,1997,12,13,3,2,0,77,304,35.75,8,2
Gilchrist Adam,1998,25,37,1,2,3,118,1135,36.13,26,7
Gilchrist Adam,1999,37,74,0,6,2,154,2376,33.54,56,9
Gilchrist Adam,2000,23,97,0,5,1,128,3102,31.57,37,1
Gilchrist Adam,2001,20,115,1,7,0,98,3848,43.88,24,10
Gilchrist Adam,2002,27,141,0,4,2,124,4684,32.15,50,5
Gilchrist Adam,2003,31,171,1,8,1,111,5782,37.86,53,3
Gilchrist Adam,2004,21,192,1,5,1,172,6661,43.95,31,2
Gilchrist Adam,2005,27,219,2,3,2,121,7553,35.68,41,3
Gilchrist Adam,2006,22,240,0,4,2,122,8363,38.57,32,4
Gilchrist Adam,2007,30,269,2,7,1,149,9297,34.59,41,7
Gilchrist Adam,2008,10,279,0,2,1,118,9619,32.2,16,2
Yuvraj Singh,2000,13,12,0,1,0,84,260,21.67,9,0
Yuvraj Singh,2001,15,24,2,1,0,98,498,23.8,5,0
Yuvraj Singh,2002,26,45,3,7,0,80,1157,36.61,7,0
Yuvraj Singh,2003,26,70,6,3,1,102,1757,31.58,5,0
Yuvraj Singh,2004,31,98,0,5,1,139,2598,30.04,15,0
Yuvraj Singh,2005,26,123,5,3,3,120,3437,41.95,7,0
Yuvraj Singh,2006,22,144,5,5,2,107,4286,53.06,5,0
Yuvraj Singh,2007,36,177,5,9,1,121,5573,45.96,9,0
Yuvraj Singh,2008,27,204,4,3,2,138,6466,38.83,5,0
Yuvraj Singh,2009,23,225,1,5,2,131,7249,39.15,3,0
Yuvraj Singh,2010,15,239,3,2,0,74,7598,31.73,8,0
Yuvraj Singh,2011,14,252,4,5,1,113,8051,50.33,6,0
Yuvraj Singh,2012,1,253,0,0,0,2,8053,2,0,0
Yuvraj Singh,2013,18,268,1,2,0,61,8329,19.71,9,0
Sehwag Virender,1999,1,1,0,0,0,1,1,1,0,0
Sehwag Virender,2000,2,2,0,0,0,19,89,19,0,0
Sehwag Virender,2001,19,20,3,3,1,100,459,29.27,6,0
Sehwag Virender,2002,30,50,3,5,3,126,1589,41.85,9,0
Sehwag Virender,2003,27,77,0,3,2,130,2460,32.26,12,0
